t,ωfl,ωfr,ωrl,ωrr
31.6,4.000000039800542,4.000000039897865,4.000000039897865,4.000000039800542
31.7,4.000000039827889,4.000000039893646,4.000000039893646,4.000000039827889
31.8,4.000000039849883,4.000000039887914,4.000000039887914,4.000000039849883
31.9,4.000000039867817,4.0000000398802715,4.0000000398802715,4.000000039867817
32.0,4.000000039882608,4.000000039870117,4.000000039870117,4.000000039882608
32.1,4.000000039894928,4.000000039856517,4.000000039856517,4.000000039894928
32.2,4.000000039905274,4.000000039837956,4.000000039837956,4.000000039905274
32.3,4.000000039914021,4.000000039811822,4.000000039811822,4.000000039914021
32.4,4.000000039921462,4.000000039773234,4.000000039773234,4.000000039921462
32.5,4.0000000399278175,4.000000039711938,4.000000039711938,4.0000000399278175
32.6,4.000000039933267,4.000000039602239,4.000000039602239,4.000000039933267
32.7,4.000000039937948,4.000000039356685,4.000000039356685,4.000000039937948
32.8,4.000000039941973,4.000000038364262,4.000000038364262,4.000000039941973
32.9,4.00000003994541,3.940554242025937,3.9405542420259594,4.00000003994541
33.0,4.000000039948292,3.7684938514488215,3.7684938514488633,4.000000039948292
33.1,4.000000039950684,3.6039797256231716,3.6039797256232218,4.000000039950684
33.2,4.00000003995267,3.4455024889463934,3.445502488946375,4.00000003995267
33.3,4.000000039954307,3.291969273482034,3.291969273482029,4.000000039954307
33.4,4.000000039955637,3.142748739185171,3.142748739185163,4.000000039955637
33.5,4.000000039956683,2.997720951815428,2.9977209518154746,4.000000039956683
33.6,4.000000039957459,2.857348009026011,2.8573480090260133,4.000000039957459
33.7,4.000000039957968,2.722773668987827,2.7227736689877413,4.000000039957968
33.8,4.000000039958202,2.595960313848703,2.5959603138486873,4.000000039958202
33.9,4.000000039958146,2.479871954883179,2.4798719548831687,4.000000039958146
34.0,4.000000039957768,2.3787121302562357,2.3787121302561522,4.000000039957768
34.1,4.000000039957015,2.2982253039601406,2.298225303960139,4.000000039957015
34.2,4.000000039955803,2.246069802503171,2.246069802503182,4.000000039955803
34.3,4.000000039953993,2.232269780372341,2.232269780372333,4.000000039953993
34.4,4.000000039951337,2.269753929741964,2.2697539297418916,4.000000039951337
34.5,4.000000039947367,2.374990704808828,2.3749907048088574,4.000000039947367
34.6,4.00000003994109,2.568734576851379,2.5687345768514165,4.00000003994109
34.7,4.000000039930047,2.8769044403750863,2.876904440375167,4.000000039930047
34.8,4.000000039906219,3.3316164694274915,3.331616469427522,4.000000039906219
34.9,4.000000039821319,3.9723159178552514,3.9723159178553913,4.000000039821319
35.0,4.000000039466332,4.000000039269871,4.000000039269871,4.000000039466332
35.1,4.0000000381286265,4.000000038100878,4.000000038100878,4.0000000381286265
35.2,3.897024206525019,3.8970242065119014,3.89702420651187,3.897024206524987
35.3,3.697449976187948,3.6974499761798594,3.6974499761798385,3.697449976187927
35.4,3.5076345504236386,3.507634550417846,3.50763455041778,3.5076345504235715
35.5,3.327562555233218,3.3275625552290693,3.327562555229071,3.3275625552332175
35.6,3.157213927850196,3.157213927847266,3.157213927847206,3.1572139278501354
35.7,2.996696576490838,2.996696576488836,2.9966965764888105,2.9966965764908102
35.8,2.846033650098257,2.8460336500969747,2.8460336500969516,2.846033650098234
35.9,2.7051433551241155,2.705143355123401,2.7051433551234223,2.7051433551241377
36.0,2.5740310018383212,2.5740310018380486,2.5740310018380286,2.5740310018383004
36.1,2.452612857243274,2.4526128572433485,2.452612857243284,2.4526128572432113
36.2,2.3407665105810107,2.340766510581348,2.3407665105813886,2.3407665105810525
36.3,2.2383392612235964,2.238339261224125,2.2383392612241244,2.2383392612235955
36.4,2.1451208550303984,2.1451208550310574,2.1451208550310574,2.145120855030399
36.5,2.060858329686213,2.060858329686948,2.0608583296869902,2.0608583296862544
36.6,1.985253709191491,1.9852537091922564,1.985253709192257,1.9852537091914915
36.7,1.9179631710118195,1.9179631710125753,1.917963171012534,1.9179631710117793
36.8,1.8585827114973348,1.8585827114980495,1.8585827114980489,1.8585827114973326
36.9,1.806639909151507,1.8066399091521632,1.806639909152167,1.806639909151509
37.0,1.7615803076525374,1.7615803076531271,1.7615803076531262,1.761580307652534
37.1,1.722753651952645,1.722753651953178,1.7227536519531772,1.7227536519526434
37.2,1.6894031500939155,1.689403150094413,1.6894031500943707,1.689403150093872
37.3,1.6606564971172195,1.6606564971177196,1.6606564971177216,1.6606564971172193
37.4,1.6355236763878513,1.6355236763884082,1.6355236763883643,1.6355236763878058
37.5,1.6129086765967993,1.6129086765974778,1.6129086765974325,1.6129086765967537
37.6,1.5916396663088244,1.5916396663097017,1.5916396663097023,1.5916396663088246
37.7,1.5705194340355326,1.5705194340366928,1.5705194340366946,1.5705194340355322
37.8,1.5483909934113673,1.548390993412899,1.548390993412899,1.5483909934113667
37.9,1.5242121540742153,1.5242121540762077,1.5242121540762503,1.524212154074257
38.0,1.4971109518613206,1.497110951863865,1.4971109518638632,1.4971109518613182
38.1,1.466393550085999,1.466393550089193,1.466393550089192,1.466393550085999
38.2,1.4315131753208585,1.431513175324271,1.431513175324315,1.4315131753209027
38.3,1.4047207185660735,1.4047207185691715,1.404720718569172,1.4047207185660735
38.4,1.3855701561504465,1.3855701561531901,1.3855701561532767,1.3855701561505331
38.5,1.3736863750579311,1.3736863750602932,1.3736863750603376,1.373686375057976
38.6,1.3687480049488574,1.3687480049508252,1.3687480049508245,1.368748004948857
38.7,1.370470967640469,1.3704709676420435,1.3704709676420452,1.3704709676404707
38.8,1.3785992675252254,1.3785992675264214,1.3785992675264214,1.3785992675252259
38.9,1.3929008985945124,1.3929008985953584,1.392900898595355,1.3929008985945086
39.0,1.4131644194076605,1.4131644194081967,1.413164419408023,1.413164419407487
39.1,1.4391955349293952,1.4391955349296695,1.4391955349296717,1.439195534929398
39.2,1.4708141501747682,1.4708141501748355,1.4708141501748433,1.4708141501747745
39.3,1.507853393616999,1.5078533936169216,1.5078533936169665,1.5078533936170435
39.4,1.5501554578166927,1.55015545781653,1.5501554578165302,1.5501554578166923
39.5,1.5975626573412938,1.5975626573411155,1.5975626573411565,1.5975626573413346
39.6,1.6499119458405507,1.649911945840422,1.6499119458404203,1.6499119458405491
39.7,1.7070333917039509,1.7070333917039382,1.7070333917039608,1.7070333917039735
39.8,1.7687489605273572,1.7687489605275346,1.7687489605275115,1.768748960527336
39.9,1.8348597551832002,1.8348597551836396,1.8348597551836596,1.834859755183222
40.0,1.9051280795792933,1.9051280795800747,1.905128079580073,1.9051280795792926
40.1,1.9792882536832,1.9792882536844079,1.9792882536844518,1.9792882536832417
40.2,2.057051428334534,2.0570514283362673,2.057051428336291,2.0570514283345567
40.3,2.138079954576123,2.138079954578494,2.1380799545784956,2.1380799545761224
40.4,2.221981504038111,2.2219815040412585,2.2219815040412145,2.2219815040380677
40.5,2.3083242503247523,2.3083242503288393,2.308324250328837,2.3083242503247487
40.6,2.396636526650109,2.3966365266553447,2.3966365266553216,2.3966365266500853
40.7,2.4863939546312226,2.4863939546378804,2.4863939546378333,2.4863939546311755
40.8,2.5770259970940885,2.5770259971025262,2.577025997102526,2.5770259970940876
40.9,2.6678997924102883,2.6678997924209957,2.667899792420973,2.6678997924102674
41.0,2.7583565743915517,2.758356574405211,2.7583565744052203,2.7583565743915623
41.1,2.847739103418318,2.8477391034359107,2.8477391034359103,2.847739103418318
41.2,2.935377683940419,2.93537768396341,2.935377683963409,2.935377683940419
41.3,3.020596551655271,3.0205965516859465,3.020596551685928,3.0205965516552546
41.4,3.102744466610966,3.102744466653079,3.102744466653067,3.1027444666109543
41.5,3.18123786961117,3.1812378696713504,3.1812378696724397,3.1812378696122576
41.6,3.255389499443162,3.255389500287245,3.255389500286689,3.2553894994426074
41.7,3.025280321980018,3.5820418321277687,3.5820418321277847,3.025280321980025
41.8,2.700605042365997,3.927346828979443,3.92734682897942,2.700605042365966
41.9,2.456564244032793,4.0000000387754,4.0000000387754,2.456564244032783
42.0,2.2959676942128886,4.000000039364005,4.000000039364005,2.2959676942128646
42.1,2.204333059094184,4.00000003950941,4.00000003950941,2.2043330590942185
42.2,2.1661982465402163,4.000000039561821,4.000000039561821,2.1661982465401914
42.3,2.1691200753996203,4.000000039574853,4.000000039574853,2.1691200753996185
42.4,2.203156654833387,4.000000039561926,4.000000039561926,2.2031566548334642
42.5,2.260409627946664,4.000000039523998,4.000000039523998,2.2604096279466774
42.6,2.334629119084813,4.0000000394533535,4.0000000394533535,2.3346291190847834
42.7,2.4208793870596996,4.000000039328473,4.000000039328473,2.42087938705971
42.8,2.5152618471537482,4.000000039091056,4.000000039091056,2.5152618471537576
42.9,2.6146904943892078,4.000000038533229,4.000000038533229,2.6146904943892006
